status,T_K,P_Pa,rho_l_molm3,rho_v_molm3,x1_liq,y1_vap,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,notes
CONVERGED,317.6923076923077,788703.6424325135,4019.257994499291,341.71382114070536,0.9407370282486803,0.9385037942295681,42259.763067496235,48818.3284238099,2.928451018589048e-13,2.588707510948184e-09,20,The solution converged.
CONVERGED,320.5128205128205,821191.0374948783,4028.0053383661025,353.7689984999021,0.9465699250071985,0.9385037942295681,36185.7810394087,49097.948787375695,1.5154677348592373e-09,7.328807059799636e-09,16,The solution converged.
CONVERGED,323.33333333333337,876637.2073657026,4031.320203554193,377.21300377342936,0.9495004534850583,0.9385037942295681,30640.40843593266,49354.64165006745,8.59400366479463e-10,9.488116241171187e-09,14,The solution converged.
CONVERGED,326.1538461538462,956190.4612048641,4030.9875422946725,412.91033758662877,0.9504616731848016,0.9385037942295681,26354.775906098712,49587.57300041782,9.9103762076562e-14,1.1096432906456335e-08,21,The solution converged.
CONVERGED,328.974358974359,1060050.8750058713,4027.8394792506447,461.6577612216004,0.9500658204211786,0.9385037942295681,23722.225479898854,49796.25015367483,1.7131998692894097e-14,1.4655831015814814e-09,29,The solution converged.
CONVERGED,331.7948717948718,1187331.3344626762,4022.220372552935,524.1549606190929,0.9487646328817413,0.9385037942295681,22819.45090013508,49980.60356879751,4.788283983148627e-10,3.9645783584231015e-09,13,The solution converged.
CONVERGED,334.61538461538464,1335868.1864065938,4014.1970700170664,600.9076085190326,0.9469227175829538,0.9385037942295681,23471.759128878693,50141.18635357937,2.265198598262648e-11,6.9692103421235145e-09,21,The solution converged.
CONVERGED,337.43589743589746,1502170.9912953516,4003.6525653568997,692.1361686556669,0.9448442099092489,0.9385037942295681,25344.54291699867,50279.31578045904,4.882377117915516e-14,3.7453091653681786e-09,19,The solution converged.
CONVERGED,340.2564102564103,1681604.6201734114,3990.3215960093376,797.7342282665081,0.9427753148479515,0.9385037942295681,28037.171806551414,50397.06438100849,7.892073159802566e-15,2.296917371855072e-09,27,The solution converged.
CONVERGED,343.0769230769231,1868797.8792730356,3973.793037241168,917.2989595411949,0.9408986829835173,0.9385037942295681,31160.273878943153,50497.08001441664,5.480646210021364e-12,3.835555471138844e-09,15,The solution converged.
CONVERGED,345.8974358974359,2058191.4026598423,3953.4886892701543,1050.239516323666,0.9393303390373912,0.9385037942295681,34386.72408057434,50582.28214484986,1.0294275131613604e-14,3.593255576323488e-09,27,The solution converged.
CONVERGED,348.71794871794873,2244599.7316540973,3928.6199319487255,1195.9595787466412,0.9381242480580588,0.9385037942295681,37475.70099187351,50655.52812412932,6.223754918181996e-16,6.99539820864132e-09,25,The solution converged.
