T_K,status,rho_l_molm3,rho_v_molm3,p_Pa,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,fallback_used,notes
240.0,CONVERGED,4152.091960918474,402.3423721319507,614945.5164182463,31851.630493511933,40024.061399289385,3.975509525794947e-15,4.842656730763476e-16,12,True,attempt=1; line-search rejected step
250.61306532663318,CONVERGED,4001.1055608020074,526.1703683944617,788808.5229569107,33371.740291363705,40644.10757899513,2.951675050126052e-16,0.0,7,False,attempt=1; line-search rejected step
251.27638190954775,CONVERGED,3989.909252641556,534.8490874494929,800518.7159062515,33469.98363512225,40682.005700563575,0.0,2.1766285564097327e-16,6,False,attempt=1; line-search rejected step
251.9396984924623,CONVERGED,3978.4903735418966,543.6478097964404,812326.0531386829,33568.65998095233,40719.79636496631,0.0,2.1708978445570504e-16,9,False,attempt=1; line-search rejected step
252.60301507537687,CONVERGED,3966.849062852918,552.5682250739804,824229.9959332966,33667.77770983264,40757.478531729066,1.4124130691836175e-16,1.0825986147719452e-15,6,False,attempt=1; line-search rejected step
253.26633165829145,CONVERGED,3954.986150632379,561.6120437945978,836229.9606399091,33767.34458107173,40795.051201901486,1.8097882819123733e-15,1.5116685324265595e-15,8,False,attempt=1; line-search rejected step
253.92964824120602,CONVERGED,3942.9031657129194,570.7809969597645,848325.3176310901,33867.36764222816,40832.513422245815,0.0,1.9384968119457187e-15,10,False,attempt=1; line-search rejected step
254.5929648241206,CONVERGED,3930.602336856653,580.0768356769731,860515.390338026,33967.85317450226,40869.8642894719,1.3528557784562664e-16,3.652065142290598e-15,6,False,attempt=1; line-search rejected step
255.25628140703517,CONVERGED,3918.0865873333246,589.5013307032934,872799.4543101087,34068.80668336074,40907.1029547542,8.002891471944394e-16,1.7141528362030442e-15,7,False,attempt=1; line-search rejected step
255.91959798994975,CONVERGED,3905.3595236070055,599.0562718001005,885176.7362101226,34170.232945409334,40944.22862888355,0.0,1.9234236746238034e-15,7,False,attempt=1; line-search rejected step
256.5829145728643,CONVERGED,3892.425419226478,608.7434667309922,897646.412622047,34272.136123886936,40981.2405885595,2.8531691812942493e-15,7.673805005972665e-15,4,False,attempt=1; line-search rejected step
257.2462311557789,CONVERGED,3879.2891954963043,618.5647396670234,910207.6085061389,34374.519966591826,41018.138184522475,5.115989835242062e-16,0.0,5,False,attempt=1; line-search rejected step
257.90954773869345,CONVERGED,3865.9564010713725,628.5219286759761,922859.3950843696,34477.38810152923,41054.92085247195,2.522926513985197e-16,8.482591718082168e-16,7,False,attempt=1; line-search rejected step
258.57286432160805,CONVERGED,3852.4331932834602,638.6168818625584,935600.786878393,34580.744447023346,41091.58812802138,9.95427310106067e-16,6.345623503656265e-16,7,False,attempt=1; line-search rejected step
259.2361809045226,CONVERGED,3838.7263247919896,648.8514515863369,948430.7375482208,34684.593754372225,41128.13966732667,0.0,9.494080105958853e-15,4,False,attempt=1; line-search rejected step
259.8994974874372,CONVERGED,3824.843140075266,659.2274860116058,961348.1340946613,34788.94230221529,41164.575275492105,1.210959044889265e-16,8.417643800055087e-16,7,False,attempt=1; line-search rejected step
260.56281407035175,CONVERGED,3810.7915873655134,669.7468170276273,974351.788887709,34893.798762468105,41200.89494543618,4.7791905615457875e-16,0.0,8,False,attempt=1; line-search rejected step
