T_K,p_kPa,h_l_kJkg,h_v_kJkg,rho_l_molm3,rho_v_molm3
329.3333333333333,1057.6032095405017,196.63034568700922,429.6648876548383,4040.5342043493865,458.8852001048265
330.66666666666663,1115.9928000206291,190.7150813268266,430.41844131159115,4037.5183473531524,487.0284899333182
332.0,1179.6208859560518,188.25118154588498,431.1230305174665,4034.101717333258,518.3861169760304
333.3333333333333,1248.2232618045473,189.00009374046166,431.7793987337492,4030.2606034360556,553.0083913250262
334.66666666666663,1321.4679495225264,192.65684133007616,432.38862291176497,4025.9678209370527,590.9323861912526
336.0,1398.956187697968,198.8691612706464,432.9521357959147,4021.1924281240344,632.1797119658754
337.3333333333333,1480.2266890560627,207.2560343494449,433.47172696681673,4015.8993549448073,676.7551240715006
338.66666666666663,1564.7630245881649,217.4247850922639,433.94952242937023,4010.048932725064,724.6460539087639
340.0,1652.003767205088,228.98614223665837,434.3879440260963,4003.596311731372,775.8231215306614
341.3333333333333,1741.3548375072005,241.56686540779097,434.7896514900107,3996.490750120027,830.2416596827203
342.66666666666663,1832.2033522024449,254.8197439902458,435.15747146643474,3988.6747532769177,887.8442498351504
344.0,1923.9322046052469,268.43094937940754,435.4943189748322,3980.083037006821,948.5642533006978
345.3333333333333,2015.9345806503736,282.1248650545817,435.80311776530107,3970.6412786639007,1012.3302900754948
346.66666666666663,2107.6276708845508,295.6666272285516,436.08672601828846,3960.2646084475323,1079.0716116974345
348.0,2198.4649290629945,308.8626823440212,436.34787323612727,3948.8557737588353,1148.724301023787
349.3333333333333,2287.9463647292177,321.55970902096,436.5891124934345,3936.302880648284,1221.2382405077872
350.66666666666663,2375.6265149624,333.64226553394195,436.8127896384075,3922.4765710639517,1296.5848233835375
352.0,2461.1199073575963,345.0295148546717,437.02102771109924,3907.22642252729,1374.7654581007528
353.3333333333333,2544.1039884740576,355.67135349356397,437.21572104411376,3890.376239845117,1455.821059021961
354.66666666666663,2624.3196379671163,365.54423356290056,437.398529446649,3871.717713921912,1539.8429617921217
356.0,2701.5695095069455,374.6469251619215,437.5708584352697,3851.0015897336884,1626.9861107475026
357.3333333333333,2775.714529454762,382.99642365052,437.7338058313199,3827.924894808279,1717.486054175489
358.66666666666663,2846.6689403445125,390.6241692592178,437.8880459276533,3802.111685173989,1811.6824923858983
360.0,2914.3942988820822,397.57272229051836,438.0336045660734,3773.0826284782065,1910.0543895618923
361.3333333333333,2978.892830608571,403.89303956018074,438.1694394600465,3740.204291781153,2013.2762575175286
362.66666666666663,3040.2005109394677,409.64255901919387,438.2926481207183,3702.5989498886897,2122.3154436367963
364.0,3098.3801916452417,414.88451217132484,438.3968882616789,3658.9705672139335,2238.61564297596
365.3333333333333,3153.515029949558,419.68956327226175,438.4688968499463,3607.230265498668,2364.484516991475
366.66666666666663,3205.702411045897,424.1433600622212,438.47949363313404,3543.551107856727,2504.057284841783
368.0,3255.048487504113,428.37588191298414,438.35314349888966,3459.261868922627,2666.429112310881
369.3333333333333,3301.6633988914054,432.7490844759352,437.7795307547,3322.3803266515188,2884.159675722393
370.66666666666663,3344.8007856281783,438.0180592876545,438.0180592877672,3060.213887027662,3060.2138870170306
