status,T_K,P_Pa,rho_l_molm3,rho_v_molm3,x1_liq,y1_vap,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,notes
CONVERGED,297.94871794871796,1110937.1780100327,3734.3001633704816,580.8439844910678,0.9385037942295681,0.9962383538012032,47556.32414349,45398.322269889024,4.743864717459858e-08,1.2018807584017175e-08,32,The solution converged.
CONVERGED,300.7692307692308,1027232.5947384937,3809.778058881119,513.6072346702879,0.9385037942295681,0.9925665027863044,52513.061812810025,45906.85404931867,6.017773988746847e-14,6.75503184281603e-07,62,The solution converged.
CONVERGED,303.5897435897436,945499.4632400384,3876.32479510556,454.57756285650476,0.9385037942295681,0.9866127248608083,56047.278731377955,46422.7728793382,3.0808343096616413e-09,3.865138784752363e-08,27,The solution converged.
CONVERGED,306.4102564102564,875229.41626661,3927.842256154318,407.28125479770677,0.9385037942295681,0.9782303234171849,57451.598705373755,46940.98958062871,2.3866727753718736e-09,3.174916111153541e-08,18,The solution converged.
CONVERGED,309.2307692307692,822119.0849947163,3964.7853882758427,372.6731628520527,0.9385037942295681,0.9678798708947152,56447.777618885484,47454.99672524416,9.137938050036495e-09,1.80609201908952e-08,28,The solution converged.
CONVERGED,312.05128205128204,789173.7596677361,3990.192577942147,350.5570386288883,0.9385037942295681,0.9565591878326218,53186.68375356891,47953.96712398541,9.849311526796524e-12,3.6584641717475825e-08,25,The solution converged.
CONVERGED,314.87179487179486,777833.8482298071,4007.1457779050247,340.4050178883523,0.9385037942295681,0.9455794159592434,48182.33016593153,48423.38689473017,8.449860977630573e-11,6.159789204156481e-09,45,The solution converged.
CONVERGED,317.6923076923077,788790.5036989995,4017.990974347361,341.7681504639514,0.9385037942295681,0.9362175513282331,42198.40840796325,48848.452331054854,7.006475852182323e-10,1.290887096482618e-08,16,The solution converged.
CONVERGED,320.5128205128205,822510.3706574031,4024.3247281058416,354.4802120037823,0.9385037942295681,0.9293661140581554,36094.606300775195,49218.24637911388,1.250206946822577e-10,1.2664383623115934e-08,14,The solution converged.
CONVERGED,323.33333333333337,879450.7179247797,4027.1691525016395,378.72369661949585,0.9385037942295681,0.925340065056891,30665.33199500517,49528.40047755346,2.0237280445026455e-11,1.2713516008107488e-08,21,The solution converged.
CONVERGED,326.1538461538462,959979.5861238248,4027.141078419283,414.98960489275123,0.9385037942295681,0.9239066740646287,26510.22144481073,49781.156812894966,2.1164355378936753e-10,3.5594800143726843e-10,17,The solution converged.
CONVERGED,328.974358974359,1064077.2640975318,4024.5749852158056,463.96147261963233,0.9385037942295681,0.9244767392648023,23963.082464966457,49983.405023042134,1.263627193690188e-12,9.119615857623419e-10,15,The solution converged.
CONVERGED,331.7948717948718,1190942.6413306585,4019.603015650576,526.3576820045424,0.9385037942295681,0.9263382844559264,23085.46258268437,50144.088927814475,3.323519374277601e-15,5.179363290383008e-10,26,The solution converged.
CONVERGED,334.61538461538464,1338649.9729653583,4012.202703186168,602.7687691235321,0.9385037942295681,0.928838299480291,23712.860014446316,50272.14306578013,4.696094950593302e-15,7.775925446386863e-09,27,The solution converged.
CONVERGED,337.43589743589746,1503988.22748599,4002.2210059083995,693.5257348474369,0.9385037942295681,0.9314772698930964,25531.30719234411,50375.39313776613,3.5606028731956185e-14,5.2521797540908075e-09,24,The solution converged.
CONVERGED,340.2564102564103,1682561.8521250947,3989.37990388837,798.6295970683844,0.9385037942295681,0.933928661662285,28160.65658112184,50460.25416817955,3.058168244009349e-14,2.6012613476169553e-09,24,The solution converged.
CONVERGED,343.0769230769231,1869149.908788974,3973.2659035619995,917.761515243032,0.9385037942295681,0.9360145392304097,31226.127582215777,50531.83312732605,1.245649921170427e-14,1.3765666762785475e-08,25,The solution converged.
CONVERGED,345.8974358974359,2058240.8554646191,3953.30331105325,1050.3805542654063,0.9385037942295681,0.9376654556586403,34407.92229733746,50594.11925404393,4.298605012798579e-15,2.408177827267883e-09,27,The solution converged.
CONVERGED,348.71794871794873,2244612.1521890014,3928.7082847228526,1195.9052253204356,0.9385037942295681,0.9388817092838572,37466.71353488386,50650.13013967273,1.634452726488273e-11,2.2103394753523904e-09,30,The solution converged.
